accession,name
LYTO01000001.1,Mesorhizobium_sp._AA22
AP003017.1,Mesorhizobium_loti_MAFF303099
LATE01000001.1,Sinorhizobium_sp._PC2
AUFB01000001.1,Rhizobium_leucaenae_USDA_9039
AP012206.1,Bradyrhizobium_japonicum_USDA_6
AJQH01000001.1,Bradyrhizobium_sp._CCBAU_15635
CP015064.1,Mesorhizobium_ciceri_biovar_biserrulae_WSM1284
AYVY01000001.1,Mesorhizobium_sp._LSHC420B00
AGSN01000001.1,Mesorhizobium_amorphae_CCNWGS0123
ATYQ01000001.1,Rhizobium_leguminosarum_bv._viciae_VF39
CP001074.1,Rhizobium_etli_CIAT_652
AYWA01000001.1,Mesorhizobium_sp._LSHC414A00
FMAF01000001.1,Rhizobium_lusitanum_P1-7
KB893805.1,Bradyrhizobium_japonicum_USDA_124
ATZC01000001.1,Sinorhizobium_meliloti_GVPV12
AJQN01000001.1,Sinorhizobium_fredii_CCBAU_25509
LFIO01000001.1,Rhizobium_ecuadorense_CNPSO_671
KB905373.1,Rhizobium_leguminosarum_bv._phaseoli_4292
CAAF010000001.1,Mesorhizobium_sp._STM_4661
AXAY01000001.1,Bradyrhizobium_sp._WSM3983
AXAL01000001.1,Mesorhizobium_loti_CJ3sym
KI632510.1,Mesorhizobium_loti_R7A
LJYF01000001.1,Bradyrhizobium_yuanmingense_BR3267
AXAB01000001.1,Bradyrhizobium_sp._WSM2254
AXAG01000003.1,Bradyrhizobium_japonicum_USDA_38
AXAX01000001.1,Bradyrhizobium_japonicum_USDA_122
CP002279.1,Mesorhizobium_opportunistum_WSM2075
AYVM01000001.1,Mesorhizobium_sp._LSJC277A00
AYVN01000001.1,Mesorhizobium_sp._LSJC269B00
AUFA01000001.1,Bradyrhizobium_sp._Cp5.3
AJQL01000001.1,Bradyrhizobium_yuanmingense_CCBAU_35157
JFGP01000001.1,Rhizobium_leguminosarum_bv._phaseoli_CCGM1
AXAD01000001.1,Bradyrhizobium_sp._USDA_3384
AXAU01000001.1,Bradyrhizobium_elkanii_WSM1741
KB902768.1,Bradyrhizobium_sp._WSM2793
AMCX01000001.1,Sinorhizobium_fredii_GR64
CP000874.1,Sinorhizobium_fredii_NGR234
JH600072.1,Bradyrhizobium_sp._WSM1253
AZUV01000001.1,Mesorhizobium_sp._WSM1293
AQWP01000001.1,Sinorhizobium_meliloti_4H41
CP003358.1,Mesorhizobium_australicum_WSM2073
KB890498.1,Bradyrhizobium_sp._WSM4349
AYVS01000001.1,Mesorhizobium_sp._LSHC440B00
AUGA01000001.1,Bradyrhizobium_sp._th.b2
AHAM01000001.1,Mesorhizobium_alhagi_CCNWXJ12-2
AJUI01000023.1,Rhizobium_leguminosarum_bv._trifolii_CC278f
CP007641.1,Rhizobium_etli_bv._phaseoli_str._IE4803
CM001442.1,Bradyrhizobium_sp._WSM471
AZYE01000987.1,Microvirga_lupini_Lut6
AXAF01000003.1,Bradyrhizobium_japonicum_USDA_4
AXAZ01000001.1,Bradyrhizobium_sp._WSM1743
AYWB01000001.1,Mesorhizobium_sp._LSHC412B00
KB913026.1,Mesorhizobium_loti_NZP2037
AEYF01000001.1,Rhizobium_sp._CCGE_510
CP006986.1,Rhizobium_etli_bv._mimosae_str._IE4771
AQHN01000001.1,Rhizobium_freirei_PRF_81
AZNX01000001.1,Ensifer_sp._TW10
KB900701.1,Bradyrhizobium_elkanii_USDA_76
AXBC01000011.1,Bradyrhizobium_genosp._SA-4_str._CB756
ATTO01000001.1,Rhizobium_favelukesii_OR191
AJQE01000001.1,Bradyrhizobium_sp._CCBAU_43298
CP006877.1,Rhizobium_gallicum_bv._gallicum_R602
HE616890.1,Sinorhizobium_fredii_HH103
AJQG01000001.1,Bradyrhizobium_sp._CCBAU_15615
AXAH01000003.1,Bradyrhizobium_elkanii_USDA_3254
LGUJ01000001.1,Bradyrhizobium_japonicum_Is-1
KI912159.1,Mesorhizobium_loti_R88b
AYWN01000001.1,Mesorhizobium_sp._LNJC372A00
AXAW01000001.1,Bradyrhizobium_elkanii_USDA_3259
AYWP01000001.1,Mesorhizobium_sp._LNHC232B00
AZUX01000001.1,Mesorhizobium_sp._WSM2561
AXBA01000001.1,Azorhizobium_doebereinerae_UFLA1-100
HF536772.1,Rhizobium_mesoamericanum_STM3625
AHJU02000001.1,Rhizobium_phaseoli_Ch24-10
