AQHN01000001.1:['XOC_0082', '3662173', '3662482', '-1', '64.151', 'True']
AQHN01000001.1:['XOC_0084', '3663865', '3665068', '-1', '87.0', 'True']
AQHN01000001.1:['XOC_0077', '3656266', '3657169', '-1', '71.777', 'True']
AQHN01000001.1:['XOC_0078', '3657165', '3658713', '-1', '75.595', 'True']
AQHN01000001.1:['XOC_0080', '3659998', '3661336', '-1', '80.899', 'True']
AQHN01000001.1:['XOC_0083', '3662483', '3663776', '-1', '84.161', 'True']
AQHN01000001.1:['XOC_0081', '3661341', '3662187', '-1', '84.249', 'True']
AQHN01000001.1:['XOC_0079', '3658894', '3659893', '-1', '75.227', 'True']
LYTO01000001.1:['XOC_0081', '5466160', '5467042', '-1', '85.0', 'True']
LYTO01000001.1:['XOC_0085', '5469905', '5471138', '-1', '82.124', 'True']
LYTO01000001.1:['XOC_0079', '5463670', '5464669', '-1', '79.456', 'True']
LYTO01000001.1:['XOC_0076', '5459807', '5460854', '-1', '89.15', 'True']
LYTO01000001.1:['XOC_0082', '5466992', '5467301', '-1', '64.706', 'True']
LYTO01000001.1:['XOC_0080', '5464817', '5466161', '-1', '84.564', 'True']
LYTO01000001.1:['XOC_0077', '5460850', '5461840', '-1', '73.684', 'True']
LYTO01000001.1:['XOC_0083', '5467302', '5468592', '-1', '84.651', 'True']
LYTO01000001.1:['XOC_0084', '5468686', '5469889', '-1', '88.5', 'True']
LYTO01000001.1:['XOC_0078', '5461836', '5463387', '-1', '76.154', 'True']
AZNX01000001.1:['XOC_0083', '124899', '126147', '1', '28.406', 'True']
AZNX01000001.1:['XOC_0081', '5517590', '5518463', '-1', '84.211', 'True']
AZNX01000001.1:['XOC_0079', '5515095', '5516094', '-1', '78.55', 'True']
AZNX01000001.1:['XOC_0077', '5512422', '5513310', '-1', '73.356', 'True']
AZNX01000001.1:['XOC_0080', '5516247', '5517591', '-1', '85.011', 'True']
AZNX01000001.1:['XOC_0076', '5511823', '5512282', '-1', '73.077', 'False']
AZNX01000001.1:['XOC_0078', '5513306', '5514857', '-1', '76.529', 'True']
AZNX01000001.1:['XOC_0084', '5520105', '5521308', '-1', '87.5', 'True']
AZNX01000001.1:['XOC_0083', '5518723', '5520013', '-1', '85.816', 'True']
AZNX01000001.1:['XOC_0082', '5518413', '5518722', '-1', '65.686', 'True']
AYWA01000001.1:['XOC_0079', '6183663', '6184650', '-1', '76.308', 'True']
AYWA01000001.1:['XOC_0080', '6184779', '6186123', '-1', '85.235', 'True']
AYWA01000001.1:['XOC_0077', '6181064', '6181967', '-1', '71.672', 'True']
AYWA01000001.1:['XOC_0082', '6186413', '6187259', '-1', '81.443', 'True']
AYWA01000001.1:['XOC_0076', '6180274', '6181078', '-1', '83.665', 'True']
AYWA01000001.1:['XOC_0084', '6188641', '6189844', '-1', '88.5', 'True']
AYWA01000001.1:['XOC_0081', '6186122', '6186383', '-1', '81.443', 'True']
AYWA01000001.1:['XOC_0078', '6181963', '6183514', '-1', '74.423', 'True']
AYWA01000001.1:['XOC_0083', '6187260', '6188616', '-1', '82.464', 'True']
AXBC01000011.1:['XOC_0080', '15990', '17334', '1', '80.761', 'True']
AXBC01000011.1:['XOC_0083', '13561', '14863', '1', '84.235', 'True']
AXBC01000011.1:['XOC_0081', '15145', '15991', '1', '83.835', 'True']
AXBC01000011.1:['XOC_0079', '17455', '18454', '1', '76.737', 'True']
AXBC01000011.1:['XOC_0078', '18733', '20284', '1', '74.753', 'True']
AXBC01000011.1:['XOC_0084', '12265', '13468', '1', '87.5', 'True']
AXBC01000011.1:['XOC_0077', '20280', '21183', '1', '72.355', 'True']
ATTO01000001.1:['XOC_0080', '6817963', '6819301', '1', '86.292', 'True']
ATTO01000001.1:['XOC_0085', '5842131', '5843364', '-1', '82.642', 'True']
ATTO01000001.1:['XOC_0081', '6817067', '6817958', '1', '85.357', 'True']
ATTO01000001.1:['XOC_0082', '6816802', '6817117', '1', '85.349', 'True']
ATTO01000001.1:['XOC_0078', '6820580', '6822131', '1', '75.337', 'True']
ATTO01000001.1:['XOC_0077', '6822127', '6823030', '1', '73.72', 'True']
ATTO01000001.1:['XOC_0083', '6815515', '6816799', '1', '85.349', 'True']
ATTO01000001.1:['XOC_0076', '6823016', '6824165', '1', '85.556', 'True']
ATTO01000001.1:['XOC_0084', '6814218', '6815421', '1', '88.75', 'True']
ATTO01000001.1:['XOC_0079', '6819455', '6820454', '1', '77.644', 'True']
AJQE01000001.1:['XOC_0080', '6216764', '6218108', '-1', '82.998', 'True']
AJQE01000001.1:['XOC_0078', '6213918', '6215469', '-1', '74.615', 'True']
AJQE01000001.1:['XOC_0081', '6218107', '6218953', '-1', '88.015', 'True']
AJQE01000001.1:['XOC_0079', '6215611', '6216610', '-1', '75.684', 'True']
AJQE01000001.1:['XOC_0083', '6219231', '6220521', '-1', '84.471', 'True']
AJQE01000001.1:['XOC_0082', '6218957', '6219230', '-1', '59.783', 'True']
AJQE01000001.1:['XOC_0077', '6213019', '6213922', '-1', '73.038', 'True']
AJQE01000001.1:['XOC_0084', '6220615', '6221821', '-1', '89.141', 'True']
AUFB01000001.1:['XOC_0082', '6131533', '6131842', '1', '64.151', 'True']
AUFB01000001.1:['XOC_0081', '6131828', '6132674', '1', '84.249', 'True']
AUFB01000001.1:['XOC_0080', '6132679', '6134017', '1', '80.899', 'True']
